xintercept	showSelected2
54.5658205	1
116.8875285	2
134.869363	2
47.759318	3
52.7239225	3
54.5658205	3
52.7239225	4
54.5658205	4
116.8875285	4
134.869363	4
47.759318	5
52.7239225	5
54.5658205	5
116.8875285	5
134.869363	5
47.759318	6
49.7513925	6
52.7239225	6
54.5658205	6
116.8875285	6
134.869363	6
47.759318	7
52.7239225	7
54.5658205	7
92.757842	7
97.792901	7
116.8875285	7
134.869363	7
47.759318	8
52.7239225	8
54.5658205	8
85.4755235	8
92.757842	8
97.792901	8
116.8875285	8
134.869363	8
47.759318	9
49.7513925	9
52.7239225	9
54.5658205	9
85.4755235	9
92.757842	9
97.792901	9
116.8875285	9
134.869363	9
47.759318	10
49.7513925	10
52.7239225	10
54.5658205	10
71.7717495	10
85.4755235	10
92.757842	10
97.792901	10
116.8875285	10
134.869363	10
47.759318	11
49.7513925	11
52.7239225	11
54.5658205	11
66.731492	11
71.7717495	11
85.4755235	11
92.757842	11
97.792901	11
116.8875285	11
134.869363	11
47.759318	12
49.7513925	12
52.7239225	12
54.5658205	12
66.731492	12
71.7717495	12
85.4755235	12
92.757842	12
97.792901	12
116.8875285	12
134.869363	12
151.508986	12
5.1253615	13
47.759318	13
49.7513925	13
52.7239225	13
54.5658205	13
66.731492	13
71.7717495	13
85.4755235	13
92.757842	13
97.792901	13
116.8875285	13
134.869363	13
151.508986	13
22.572336	14
26.9758685	14
47.759318	14
49.7513925	14
52.7239225	14
54.5658205	14
66.731492	14
71.7717495	14
85.4755235	14
92.757842	14
97.792901	14
116.8875285	14
134.869363	14
151.508986	14
5.1253615	15
31.1428375	15
32.9812495	15
47.759318	15
49.7513925	15
52.7239225	15
54.5658205	15
66.731492	15
71.7717495	15
85.4755235	15
92.757842	15
97.792901	15
116.8875285	15
134.869363	15
151.508986	15
5.1253615	16
22.572336	16
26.9758685	16
41.5270865	16
47.759318	16
49.7513925	16
52.7239225	16
54.5658205	16
66.731492	16
71.7717495	16
85.4755235	16
92.757842	16
97.792901	16
116.8875285	16
134.869363	16
151.508986	16
5.1253615	17
22.572336	17
26.9758685	17
41.5270865	17
47.759318	17
49.7513925	17
52.7239225	17
54.5658205	17
66.731492	17
71.7717495	17
85.4755235	17
92.757842	17
97.792901	17
116.8875285	17
134.869363	17
139.0240985	17
151.508986	17
5.1253615	18
22.572336	18
26.9758685	18
41.5270865	18
47.759318	18
49.7513925	18
52.7239225	18
54.5658205	18
66.731492	18
71.7717495	18
85.4755235	18
92.757842	18
97.792901	18
116.8875285	18
134.869363	18
136.980196	18
139.0240985	18
151.508986	18
5.1253615	19
22.572336	19
26.9758685	19
41.5270865	19
47.759318	19
49.7513925	19
52.7239225	19
54.5658205	19
66.731492	19
71.7717495	19
85.4755235	19
92.757842	19
97.792901	19
116.8875285	19
127.986873	19
134.869363	19
136.980196	19
139.0240985	19
151.508986	19
5.1253615	20
22.572336	20
26.9758685	20
31.1428375	20
32.9812495	20
41.5270865	20
47.759318	20
49.7513925	20
52.7239225	20
54.5658205	20
66.731492	20
71.7717495	20
85.4755235	20
92.757842	20
97.792901	20
116.8875285	20
134.869363	20
136.980196	20
139.0240985	20
151.508986	20
5.1253615	21
22.572336	21
26.9758685	21
31.1428375	21
32.9812495	21
41.5270865	21
47.759318	21
49.7513925	21
52.7239225	21
54.5658205	21
66.731492	21
71.7717495	21
85.4755235	21
92.757842	21
97.792901	21
116.8875285	21
127.986873	21
134.869363	21
136.980196	21
139.0240985	21
151.508986	21
5.1253615	22
22.572336	22
26.9758685	22
31.1428375	22
32.9812495	22
41.5270865	22
47.759318	22
49.7513925	22
52.7239225	22
54.5658205	22
66.731492	22
71.7717495	22
85.4755235	22
92.757842	22
97.792901	22
116.8875285	22
127.986873	22
134.869363	22
136.980196	22
139.0240985	22
151.508986	22
153.811955	22
5.1253615	23
22.572336	23
26.9758685	23
31.1428375	23
32.9812495	23
41.5270865	23
47.759318	23
49.7513925	23
52.7239225	23
54.5658205	23
66.731492	23
71.7717495	23
85.4755235	23
92.757842	23
97.792901	23
105.224136	23
116.8875285	23
127.986873	23
134.869363	23
136.980196	23
139.0240985	23
151.508986	23
153.811955	23
5.1253615	24
22.572336	24
26.9758685	24
31.1428375	24
32.9812495	24
41.5270865	24
47.759318	24
49.7513925	24
52.7239225	24
54.5658205	24
66.731492	24
71.7717495	24
85.4755235	24
92.757842	24
97.792901	24
105.224136	24
107.369444	24
116.8875285	24
127.986873	24
134.869363	24
136.980196	24
139.0240985	24
151.508986	24
153.811955	24
5.1253615	25
22.572336	25
26.9758685	25
31.1428375	25
32.9812495	25
41.5270865	25
47.759318	25
49.7513925	25
52.7239225	25
54.5658205	25
66.731492	25
71.7717495	25
77.4597115	25
85.4755235	25
92.757842	25
97.792901	25
105.224136	25
107.369444	25
116.8875285	25
127.986873	25
134.869363	25
136.980196	25
139.0240985	25
151.508986	25
153.811955	25
5.1253615	26
22.572336	26
26.9758685	26
31.1428375	26
32.9812495	26
36.999505	26
41.5270865	26
47.759318	26
49.7513925	26
52.7239225	26
54.5658205	26
66.731492	26
71.7717495	26
77.4597115	26
85.4755235	26
92.757842	26
97.792901	26
105.224136	26
107.369444	26
116.8875285	26
127.986873	26
134.869363	26
136.980196	26
139.0240985	26
151.508986	26
153.811955	26
5.1253615	27
22.572336	27
26.9758685	27
31.1428375	27
32.9812495	27
36.999505	27
41.5270865	27
47.759318	27
49.7513925	27
52.7239225	27
54.5658205	27
66.731492	27
71.7717495	27
77.4597115	27
85.4755235	27
92.757842	27
97.792901	27
105.224136	27
107.369444	27
116.8875285	27
127.986873	27
134.869363	27
136.980196	27
139.0240985	27
144.92014	27
151.508986	27
153.811955	27
5.1253615	28
7.0015625	28
20.3978335	28
22.572336	28
26.9758685	28
31.1428375	28
32.9812495	28
36.999505	28
41.5270865	28
47.759318	28
49.7513925	28
52.7239225	28
54.5658205	28
66.731492	28
71.7717495	28
77.4597115	28
85.4755235	28
92.757842	28
97.792901	28
105.224136	28
107.369444	28
116.8875285	28
127.986873	28
134.869363	28
136.980196	28
139.0240985	28
151.508986	28
153.811955	28
