colour	showSelectedlegendcolour	showSelected2	x	xend	y	yend
#00BFC4	yes	0	-0.243778376682442	5.11934591033127	1.21511405949614	1.21511405949614
#F8766D	no	1	-0.243778376682442	5.11934591033127	0.924165452889703	6.28728973990342
#00BFC4	yes	2	-0.243778376682442	5.11934591033127	0.579881338305029	11.3061299123325
#F8766D	no	3	-0.243778376682442	5.11934591033127	0.302772179126273	16.3921450401674
#00BFC4	yes	4	-0.243778376682442	3.91081772068043	-0.0388547286218263	16.5795296608297
#F8766D	no	5	-0.243778376682442	3.13600015246936	-0.319362984929349	16.5795296608297
#00BFC4	yes	6	-0.243778376682442	2.6215746407996	-0.612588444062605	16.5795296608297
#F8766D	no	7	-0.229285220560144	2.2520049327613	-0.78950141242046	16.5795296608297
#00BFC4	yes	8	-0.194968459014056	1.97616042514221	-0.78950141242046	16.5795296608297
#F8766D	no	9	-0.169608904275379	1.76028343719686	-0.78950141242046	16.5795296608297
#00BFC4	yes	10	-0.148123126666985	1.58877998065803	-0.78950141242046	16.5795296608297
#F8766D	no	11	-0.131819305418632	1.44718351942229	-0.78950141242046	16.5795296608297
#00BFC4	yes	12	-0.11762944272403	1.32978981338015	-0.78950141242046	16.5795296608297
#00BFC4	yes	13	-0.106202165748035	1.2298771475789	-0.78950141242046	16.5795296608297
#00BFC4	yes	14	-0.0969657501757495	1.14367932648497	-0.78950141242046	16.5795296608297
#F8766D	no	15	-0.0890396159027606	1.06889578898058	-0.78950141242046	16.5795296608297
#00BFC4	yes	16	-0.0820304116423402	1.00353403043579	-0.78950141242046	16.5795296608297
#F8766D	no	17	-0.0759442503571044	0.945763459834079	-0.78950141242046	16.5795296608297
#00BFC4	yes	18	-0.0704976877701342	0.894448482965984	-0.78950141242046	16.5795296608297
#00BFC4	yes	19	-0.0656591605081972	0.848500369662862	-0.78950141242046	16.5795296608297
#F8766D	no	20	-0.0616522069955596	0.806799346666947	-0.78950141242046	16.5795296608297
#00BFC4	yes	21	-0.0577479842697897	0.769348733504026	-0.78950141242046	16.5795296608297
#F8766D	no	22	-0.0544648981782286	0.735036514242232	-0.78950141242046	16.5795296608297
#00BFC4	yes	23	-0.0513033830228245	0.703871881031529	-0.78950141242046	16.5795296608297
#00BFC4	yes	24	-0.0485624124908504	0.675147215561238	-0.78950141242046	16.5795296608297
#F8766D	no	25	-0.0461392906149891	0.648621952315016	-0.78950141242046	16.5795296608297
#F8766D	no	26	-0.0438277359135516	0.624211920749915	-0.78950141242046	16.5795296608297
#00BFC4	yes	27	-0.0416681934817699	0.601629253675642	-0.78950141242046	16.5795296608297
#F8766D	no	28	-0.0397509139143609	0.580571624416001	-0.78950141242046	16.5795296608297
#00BFC4	yes	29	-0.037947359416272	0.56098474655787	-0.78950141242046	16.5795296608297
#00BFC4	yes	30	-0.0362819262888735	0.542685776152797	-0.78950141242046	16.5795296608297
#00BFC4	yes	31	-0.0347542860539249	0.525537038889627	-0.78950141242046	16.5795296608297
#00BFC4	yes	32	-0.0333231336746442	0.509459087364422	-0.78950141242046	16.5795296608297
#00BFC4	yes	33	-0.0320224451075215	0.494311829839452	-0.78950141242046	16.5795296608297
#00BFC4	yes	34	-0.0308137536874987	0.480040101408093	-0.78950141242046	16.5795296608297
#00BFC4	yes	35	-0.0296828479589316	0.466575182705358	-0.78950141242046	16.5795296608297
#F8766D	no	36	-0.0286347817321128	0.453838303635946	-0.78950141242046	16.5795296608297
#00BFC4	yes	37	-0.027623897176857	0.441809375073146	-0.78950141242046	16.5795296608297
#F8766D	no	38	-0.0266956637995701	0.430384101285959	-0.78950141242046	16.5795296608297
#00BFC4	yes	39	-0.0257863404505465	0.419573430658431	-0.78950141242046	16.5795296608297
#00BFC4	yes	40	-0.0249594812020597	0.409266295629193	-0.78950141242046	16.5795296608297
#F8766D	no	41	-0.0241800565941086	0.399454847631504	-0.78950141242046	16.5795296608297
#F8766D	no	42	-0.0234308164492744	0.390117542437633	-0.78950141242046	16.5795296608297
#00BFC4	yes	43	-0.0227175053592965	0.381213449832567	-0.78950141242046	16.5795296608297
#00BFC4	yes	44	-0.0220520661178834	0.372698640092347	-0.78950141242046	16.5795296608297
#F8766D	no	45	-0.0214266722092958	0.364551796085151	-0.78950141242046	16.5795296608297
#F8766D	no	46	-0.0208259905648975	0.356761641462279	-0.78950141242046	16.5795296608297
#00BFC4	yes	47	-0.0202432711643065	0.349310581458037	-0.78950141242046	16.5795296608297
