colour	showSelectedlegendcolour	showSelected2	x	xend	y	yend
#00BFC4	yes	0	-0.243778376682442	5.11934591033127	1.86426144301044	1.86426144301044
#F8766D	no	1	-0.243778376682442	5.11934591033127	1.4826284868287	6.84575277384241
#00BFC4	yes	2	-0.243778376682442	5.11934591033127	0.641409390382381	11.3676579644098
#00BFC4	yes	3	-0.243778376682442	5.11934591033127	0.244265319340828	16.333638180382
#00BFC4	yes	4	-0.243778376682442	3.93406089325183	-0.131827418907416	16.5795296608297
#F8766D	no	5	-0.243778376682442	3.15511067383127	-0.414915591738908	16.5795296608297
#00BFC4	yes	6	-0.243778376682442	2.63623740990467	-0.700565058693018	16.5795296608297
#F8766D	no	7	-0.217283007159231	2.26400714616222	-0.78950141242046	16.5795296608297
#00BFC4	yes	8	-0.185276143253781	1.98585274090248	-0.78950141242046	16.5795296608297
#F8766D	no	9	-0.161685440400375	1.76820690107186	-0.78950141242046	16.5795296608297
#00BFC4	yes	10	-0.142364493343026	1.59453861398199	-0.78950141242046	16.5795296608297
#00BFC4	yes	11	-0.12729551336689	1.45170731147403	-0.78950141242046	16.5795296608297
#F8766D	no	12	-0.115260580445132	1.33215867565904	-0.78950141242046	16.5795296608297
#00BFC4	yes	13	-0.104683827303761	1.23139548602317	-0.78950141242046	16.5795296608297
#F8766D	no	14	-0.0959832909467636	1.14466178571396	-0.78950141242046	16.5795296608297
#00BFC4	yes	15	-0.088142238147073	1.06979316673627	-0.78950141242046	16.5795296608297
#F8766D	no	16	-0.0816324242186421	1.00393201785949	-0.78950141242046	16.5795296608297
#00BFC4	yes	17	-0.0758018017560843	0.9459059084351	-0.78950141242046	16.5795296608297
#00BFC4	yes	18	-0.0707008802858673	0.894245290450251	-0.78950141242046	16.5795296608297
#F8766D	no	19	-0.0664015743378427	0.847757955833217	-0.78950141242046	16.5795296608297
#00BFC4	yes	20	-0.0624134989225567	0.80603805473995	-0.78950141242046	16.5795296608297
#F8766D	no	21	-0.0589646297648091	0.768132088009006	-0.78950141242046	16.5795296608297
#F8766D	no	22	-0.0557465823731652	0.733754830047295	-0.78950141242046	16.5795296608297
#F8766D	no	23	-0.0528069385478618	0.702368325506491	-0.78950141242046	16.5795296608297
#00BFC4	yes	24	-0.050133440548879	0.67357618750321	-0.78950141242046	16.5795296608297
#F8766D	no	25	-0.0477085768143729	0.647052666115632	-0.78950141242046	16.5795296608297
#00BFC4	yes	26	-0.0454368233435229	0.622602833319943	-0.78950141242046	16.5795296608297
#00BFC4	yes	27	-0.0433948922284301	0.599902554928982	-0.78950141242046	16.5795296608297
#F8766D	no	28	-0.0415165295272272	0.578806008803134	-0.78950141242046	16.5795296608297
