xintercept	showSelected2
76.9866905	1
7.6842975	2
9.8506445	2
7.6842975	3
9.8506445	3
76.9866905	3
7.6842975	4
9.8506445	4
55.220947	4
76.9866905	4
7.6842975	5
9.8506445	5
55.220947	5
76.9866905	5
87.523177	5
7.6842975	6
9.8506445	6
55.220947	6
76.9866905	6
143.096437	6
146.012207	6
7.6842975	7
9.8506445	7
57.5722755	7
62.464735	7
76.9866905	7
143.096437	7
146.012207	7
7.6842975	8
9.8506445	8
26.3357965	8
27.6658355	8
54.51877	8
76.9866905	8
143.096437	8
146.012207	8
7.6842975	9
9.8506445	9
57.5722755	9
62.464735	9
76.9866905	9
97.209896	9
97.9877535	9
143.096437	9
146.012207	9
7.6842975	10
9.8506445	10
26.3357965	10
27.6658355	10
54.51877	10
76.9866905	10
97.209896	10
97.9877535	10
143.096437	10
146.012207	10
7.6842975	11
9.8506445	11
26.3357965	11
27.6658355	11
57.5722755	11
62.464735	11
76.9866905	11
97.209896	11
97.9877535	11
143.096437	11
146.012207	11
7.6842975	12
9.8506445	12
26.3357965	12
27.6658355	12
57.5722755	12
62.464735	12
75.9875225	12
76.9866905	12
97.209896	12
97.9877535	12
143.096437	12
146.012207	12
7.6842975	13
9.8506445	13
26.3357965	13
27.6658355	13
54.51877	13
57.5722755	13
62.464735	13
75.9875225	13
76.9866905	13
97.209896	13
97.9877535	13
143.096437	13
146.012207	13
7.6842975	14
9.8506445	14
26.3357965	14
27.6658355	14
55.2448415	14
55.4051	14
57.5722755	14
62.464735	14
75.9875225	14
76.9866905	14
97.209896	14
97.9877535	14
143.096437	14
146.012207	14
7.6842975	15
9.8506445	15
26.3357965	15
27.6658355	15
54.51877	15
57.5722755	15
62.464735	15
75.9875225	15
76.9866905	15
97.209896	15
97.9877535	15
143.096437	15
146.012207	15
156.2253915	15
158.21622	15
7.6842975	16
9.8506445	16
26.3357965	16
27.6658355	16
55.2448415	16
55.4051	16
57.5722755	16
62.464735	16
75.9875225	16
76.9866905	16
97.209896	16
97.9877535	16
143.096437	16
146.012207	16
156.2253915	16
158.21622	16
7.6842975	17
9.8506445	17
17.1038045	17
